accuracy, f1score, precision, recall
1,1,1,1
1,1,1,1
0.846153846,0.909090909,1,0.833333333
0.846153846,0.909090909,1,0.833333333
0.5,0.666666667,0.5,1
0.5,0.666666667,0.5,1
0.8,0.888888889,0.8,1
0.8,0.888888889,0.8,1
0.5,0.571428571,0.4,1
0.5,0.571428571,0.4,1
1,1,1,1
1,1,1,1
0.666666667,0.8,1,0.666666667
0.666666667,0.8,1,0.666666667
0.62962963,0.75,0.652173913,0.882352941
0.62962963,0.75,0.652173913,0.882352941
0.428571429,0.6,0.5,0.75
0.428571429,0.6,0.5,0.75
0.666666667,0.75,0.75,0.75
0.666666667,0.75,0.75,0.75
0.5,0.571428571,0.5,0.666666667
0.5,0.571428571,0.5,0.666666667
1,1,1,1
1,1,1,1
0.571428571,0.666666667,0.5,1
0.571428571,0.666666667,0.5,1
1,1,1,1
1,1,1,1
0.75,0.857142857,0.75,1
0.75,0.857142857,0.75,1
0.428571429,0.6,0.428571429,1
0.428571429,0.6,0.428571429,1
0.5,0.666666667,0.6,0.75
0.5,0.666666667,0.6,0.75
1,1,1,1
1,1,1,1
0.5,0.666666667,0.5,1
0.5,0.666666667,0.5,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.333333333,0.5,1,0.333333333
0.333333333,0.5,1,0.333333333
0.2,0.333333333,0.333333333,0.333333333
0.2,0.333333333,0.333333333,0.333333333
1,1,1,1
1,1,1,1
0.75,0.8,0.666666667,1
0.75,0.8,0.666666667,1
0.666666667,0.8,0.666666667,1
0.666666667,0.8,0.666666667,1
0.875,0.933333333,0.875,1
0.875,0.933333333,0.875,1
0.2,0.333333333,0.2,1
0.2,0.333333333,0.2,1
0.625,0.727272727,0.666666667,0.8
0.625,0.727272727,0.666666667,0.8
0.8,0.888888889,0.8,1
0.8,0.888888889,0.8,1
0.5,0.666666667,0.5,1
0.5,0.666666667,0.5,1
1,1,1,1
1,1,1,1
0.666666667,0.75,0.6,1
0.666666667,0.75,0.6,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.857142857,0.923076923,0.923076923,0.923076923
0.857142857,0.923076923,0.923076923,0.923076923
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.333333333,0.333333333,0.25,0.5
0.333333333,0.333333333,0.25,0.5
0.75,0.8,1,0.666666667
0.75,0.8,1,0.666666667
0.75,0.857142857,0.75,1
0.75,0.857142857,0.75,1
0.4,0.5,0.333333333,1
0.4,0.5,0.333333333,1
1,1,1,1
1,1,1,1
0.75,0.8,0.666666667,1
0.75,0.8,0.666666667,1
0.571428571,0.727272727,0.571428571,1
0.571428571,0.727272727,0.571428571,1
0.222222222,0.222222222,0.142857143,0.5
0.222222222,0.222222222,0.142857143,0.5
0.923076923,0.952380952,0.909090909,1
0.923076923,0.952380952,0.909090909,1
0.428571429,0.538461538,0.538461538,0.538461538
0.428571429,0.538461538,0.538461538,0.538461538
0.625,0.727272727,0.666666667,0.8
0.625,0.727272727,0.666666667,0.8
0.666666667,0.8,0.8,0.8
0.666666667,0.8,0.8,0.8
0.75,0.857142857,1,0.75
0.75,0.857142857,1,0.75
0.426829268,0.078431373,0.041666667,0.666666667
0.426829268,0.078431373,0.041666667,0.666666667
1,1,1,1
1,1,1,1
0.8,0.888888889,0.8,1
0.8,0.888888889,0.8,1
0.636363636,0.714285714,0.555555556,1
0.636363636,0.714285714,0.555555556,1
0.666666667,0.666666667,0.5,1
0.666666667,0.666666667,0.5,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.2,0.2,0.111111111,1
0.2,0.2,0.111111111,1
0.571428571,0.727272727,0.666666667,0.8
0.571428571,0.727272727,0.666666667,0.8
1,1,1,1
1,1,1,1
0.5,0.666666667,0.666666667,0.666666667
0.5,0.666666667,0.666666667,0.666666667
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.833333333,0.909090909,0.833333333,1
0.833333333,0.909090909,0.833333333,1
1,1,1,1
1,1,1,1
0.8,0.8,0.666666667,1
0.8,0.8,0.666666667,1
0.5,0.666666667,0.5,1
0.5,0.666666667,0.5,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.75,0.857142857,0.75,1
0.75,0.857142857,0.75,1
1,1,1,1
1,1,1,1
0.888888889,0.923076923,1,0.857142857
0.888888889,0.923076923,1,0.857142857
0.923076923,0.952380952,0.909090909,1
0.923076923,0.952380952,0.909090909,1
0.666666667,0.8,1,0.666666667
0.666666667,0.8,1,0.666666667
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.538461538,0.5,0.375,0.75
0.538461538,0.5,0.375,0.75
1,1,1,1
1,1,1,1
0.666666667,0.666666667,1,0.5
0.666666667,0.666666667,1,0.5
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.285714286,0.285714286,0.166666667,1
0.285714286,0.285714286,0.166666667,1
0.333333333,0.5,0.333333333,1
0.333333333,0.5,0.333333333,1
0.333333333,0.5,0.5,0.5
0.333333333,0.5,0.5,0.5
0.75,0.666666667,1,0.5
0.75,0.666666667,1,0.5
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.75,0.857142857,1,0.75
0.75,0.857142857,1,0.75
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
